Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,CopiaSeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
Masculino,0,Si,No,36,No,Sin Servicio Telefónico,DSL,Si,No,Si,No,No,No,un anio,No,Cheque por Correo,35.35,1317.95,No
Femenino,0,Si,No,46,Si,Si,Fibra Óptica,No,Si,No,Si,Si,Si,un anio,Si,Cheque Electrónico,103.15,4594.65,No
Femenino,0,No,No,58,Si,Si,Fibra Óptica,Si,Si,Si,No,Si,Si,un anio,Si,Cheque Electrónico,107.75,6332.75,No
Masculino,0,No,No,39,Si,Si,Fibra Óptica,No,Si,No,No,No,No,un anio,No,Tarjeta de crédito (automática),81.4,3213.75,No
Masculino,0,Si,Si,4,Si,No,DSL,No,No,No,Si,No,Si,Mensual,No,Tarjeta de crédito (automática),61.45,229.55,Si
Femenino,0,Si,Si,52,Si,Si,Fibra Óptica,No,Si,Si,No,Si,No,un anio,Si,Tarjeta de crédito (automática),95.7,4976.15,No
Masculino,1,Si,No,70,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,un anio,Si,Cheque Electrónico,104.8,7308.95,No
Masculino,1,Si,No,65,Si,No,Fibra Óptica,No,No,No,No,No,No,un anio,Si,Transferencia bancaria (automática),70.95,4555.2,No
Masculino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,44.95,44.95,No
Femenino,0,Si,No,70,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,un anio,Si,Cheque Electrónico,97.65,6982.5,No
Femenino,1,Si,Si,29,No,Sin Servicio Telefónico,DSL,No,Si,Si,No,No,No,Mensual,Si,Cheque por Correo,35.65,1025.15,No
Masculino,0,No,No,1,Si,No,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,90.55,90.55,Si
Femenino,0,No,No,67,Si,Si,DSL,Si,No,Si,Si,Si,Si,dos anios,Si,Cheque por Correo,85.25,5714.2,No
Femenino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Cheque por Correo,19.5,19.5,No
Femenino,0,No,No,26,Si,No,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),88.8,2274.35,Si
Femenino,0,Si,Si,30,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Cheque por Correo,25.1,789.55,No
Femenino,0,Si,No,48,Si,No,Fibra Óptica,No,No,Si,Si,Si,Si,Mensual,Si,Tarjeta de crédito (automática),100.05,4834.0,No
Femenino,0,Si,Si,55,Si,No,DSL,Si,Si,No,No,No,No,Mensual,No,Cheque Electrónico,55.7,3131.8,No
Masculino,0,No,No,7,Si,Si,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque por Correo,85.2,602.55,Si
Masculino,0,No,No,37,Si,Si,Fibra Óptica,Si,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,91.15,3369.25,No
Femenino,0,Si,No,31,Si,No,Fibra Óptica,No,Si,No,No,No,Si,Mensual,Si,Transferencia bancaria (automática),83.85,2674.15,No
Masculino,0,No,No,4,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,45.9,199.75,No
Masculino,0,Si,Si,72,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Tarjeta de crédito (automática),25.1,1790.8,No
Masculino,1,No,No,5,Si,No,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,91.4,449.75,Si
Masculino,0,Si,Si,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.7,19.7,No
Femenino,1,No,No,15,Si,No,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,91.5,1400.3,No
Masculino,0,Si,Si,8,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Tarjeta de crédito (automática),51.3,411.6,No
Femenino,0,No,No,35,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,21.1,741.0,No
Femenino,1,No,No,56,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,Mensual,No,Cheque Electrónico,104.75,5841.35,No
Masculino,0,Si,No,42,Si,Si,Fibra Óptica,No,No,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria (automática),106.15,4512.7,Si
Masculino,1,Si,Si,65,Si,Si,Fibra Óptica,Si,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,85.75,5688.45,No
Femenino,0,Si,Si,2,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,20.3,31.9,No
Masculino,1,Si,No,65,Si,Si,Fibra Óptica,Si,No,No,No,Si,Si,un anio,Si,Cheque Electrónico,100.75,6674.65,No
Femenino,0,No,No,18,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,74.15,1345.75,No
Femenino,0,No,No,23,Si,Si,DSL,Si,No,Si,No,Si,Si,un anio,Si,Cheque Electrónico,78.55,1843.05,No
Femenino,0,No,No,4,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,45.3,196.95,Si
Masculino,0,Si,No,70,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),19.85,1433.8,No
Femenino,0,No,No,4,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,50.7,214.55,No
Masculino,0,No,No,19,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),45.0,865.85,No
Femenino,0,No,No,18,Si,No,Fibra Óptica,No,Si,Si,No,No,No,Mensual,No,Cheque Electrónico,77.8,1358.6,No
Femenino,1,Si,No,38,Si,No,Fibra Óptica,Si,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,83.45,3147.15,No
Masculino,0,No,No,2,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Tarjeta de crédito (automática),73.25,131.05,Si
Masculino,0,No,No,47,Si,Si,Fibra Óptica,Si,Si,No,No,Si,No,un anio,No,Transferencia bancaria (automática),94.8,4535.85,No
Femenino,0,Si,Si,52,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),20.1,1078.75,No
Masculino,0,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Cheque por Correo,59.9,542.4,No
Femenino,0,Si,No,26,Si,Si,DSL,Si,Si,Si,Si,Si,Si,un anio,Si,Tarjeta de crédito (automática),90.1,2312.55,No
Masculino,0,Si,Si,8,Si,No,DSL,No,No,Si,No,No,No,Mensual,Si,Cheque Electrónico,51.05,415.05,Si
Masculino,0,Si,No,44,Si,No,DSL,No,Si,Si,Si,Si,No,un anio,Si,Cheque Electrónico,70.95,3250.45,No
Femenino,0,No,No,3,No,Sin Servicio Telefónico,DSL,No,Si,No,No,No,No,Mensual,No,Cheque por Correo,29.2,98.5,No
Masculino,0,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),46.6,87.9,No
Femenino,0,Si,Si,9,Si,Si,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Transferencia bancaria (automática),85.35,754.65,Si
Masculino,1,No,No,1,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,75.35,75.35,Si
Masculino,0,No,No,25,Si,No,Fibra Óptica,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),74.3,1952.25,No
Femenino,1,Si,No,2,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,69.3,153.8,No
Masculino,0,No,No,43,Si,No,Fibra Óptica,Si,No,No,No,No,No,Mensual,Si,Cheque Electrónico,75.2,3198.6,Si
Femenino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.9,20.9,Si
Femenino,0,Si,No,58,Si,Si,Fibra Óptica,No,Si,Si,No,No,Si,un anio,Si,Cheque Electrónico,94.3,5610.15,No
Femenino,0,Si,Si,59,Si,Si,DSL,Si,No,Si,Si,Si,No,dos anios,Si,Cheque por Correo,76.45,4519.5,No
Masculino,0,No,No,44,No,Sin Servicio Telefónico,DSL,Si,No,Si,No,Si,Si,un anio,Si,Cheque Electrónico,54.0,2440.25,No
Masculino,0,No,No,66,Si,Si,Fibra Óptica,No,Si,No,Si,Si,Si,un anio,Si,Cheque Electrónico,104.25,6860.6,No
Masculino,0,Si,Si,68,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),19.95,1377.7,No
Masculino,0,No,No,9,No,Sin Servicio Telefónico,DSL,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,24.95,190.25,No
Masculino,0,No,No,19,Si,Si,Fibra Óptica,Si,No,Si,No,No,No,Mensual,Si,Cheque Electrónico,84.75,1651.95,No
Masculino,0,No,No,4,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.75,78.3,No
Femenino,0,No,No,70,Si,Si,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),113.65,7939.25,No
Masculino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,44.9,44.9,No
Femenino,0,No,No,8,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,75.25,576.7,No
Masculino,0,No,No,53,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,24.6,1279.0,No
Masculino,1,No,No,51,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Transferencia bancaria (automática),25.0,1260.7,No
Masculino,0,Si,Si,11,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Transferencia bancaria (automática),20.95,267.35,No
Masculino,0,Si,Si,60,Si,Si,Fibra Óptica,Si,No,Si,Si,Si,Si,dos anios,Si,Cheque Electrónico,110.6,6586.85,No
Masculino,0,No,No,17,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Tarjeta de crédito (automática),55.5,934.15,No
Masculino,0,No,No,3,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,43.3,123.65,Si
Masculino,0,Si,No,70,Si,No,Fibra Óptica,Si,Si,Si,Si,Si,Si,un anio,Si,Transferencia bancaria (automática),109.5,7534.65,Si
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.45,19.45,No
Masculino,1,No,No,43,Si,Si,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,84.85,3645.6,No
Femenino,0,Si,No,16,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.6,314.45,No
Femenino,0,Si,Si,57,Si,No,DSL,Si,Si,No,No,No,No,un anio,No,Cheque Electrónico,53.45,3053.0,No
Masculino,0,Si,Si,37,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Tarjeta de crédito (automática),19.8,677.05,No
Femenino,0,Si,No,72,Si,Si,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,No,Tarjeta de crédito (automática),112.1,7965.95,No
Femenino,1,No,No,11,Si,Si,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Tarjeta de crédito (automática),84.8,906.85,Si
Femenino,1,Si,No,50,Si,Si,Fibra Óptica,No,Si,Si,No,Si,No,Mensual,Si,Cheque Electrónico,95.05,4888.7,Si
Masculino,1,No,No,5,Si,No,DSL,No,No,Si,No,No,No,Mensual,No,Cheque Electrónico,50.35,237.25,Si
Masculino,0,Si,No,1,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),74.6,74.6,Si
Masculino,0,No,No,16,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Cheque por Correo,19.7,342.4,Si
Masculino,1,Si,No,2,Si,No,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Cheque Electrónico,74.2,140.1,No
Femenino,0,No,No,17,Si,Si,DSL,No,No,Si,Si,Si,No,Mensual,Si,Cheque por Correo,69.0,1108.0,No
Femenino,0,No,No,16,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Tarjeta de crédito (automática),19.35,295.55,No
Femenino,0,No,No,15,Si,No,DSL,No,No,Si,No,No,Si,Mensual,Si,Cheque Electrónico,59.45,892.65,Si
Femenino,0,No,No,10,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Cheque por Correo,19.8,198.25,No
Femenino,0,No,Si,46,Si,No,Fibra Óptica,Si,Si,No,Si,Si,Si,un anio,Si,Transferencia bancaria (automática),105.2,4822.85,Si
Masculino,0,Si,Si,64,Si,Si,Fibra Óptica,No,Si,Si,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),109.2,6741.15,No
Femenino,0,No,No,1,Si,Si,Fibra Óptica,No,Si,No,No,No,No,Mensual,Si,Cheque por Correo,79.15,79.15,No
Masculino,0,Si,Si,25,Si,No,DSL,No,Si,Si,No,No,No,un anio,No,Cheque por Correo,53.65,1355.45,No
Masculino,0,Si,Si,71,Si,No,Fibra Óptica,Si,Si,Si,Si,Si,No,dos anios,No,Tarjeta de crédito (automática),100.2,7209.0,No
Masculino,0,No,No,8,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,45.15,438.4,Si
Femenino,0,Si,Si,72,Si,No,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),108.65,7726.35,No
Femenino,0,Si,No,49,No,Sin Servicio Telefónico,DSL,Si,No,No,No,Si,No,Mensual,No,Transferencia bancaria (automática),40.65,2070.75,No
Masculino,0,Si,Si,29,No,Sin Servicio Telefónico,DSL,Si,Si,Si,Si,No,Si,un anio,Si,Tarjeta de crédito (automática),55.35,1636.95,No
Masculino,0,Si,No,72,Si,Si,Fibra Óptica,Si,Si,Si,Si,No,Si,dos anios,No,Transferencia bancaria (automática),105.6,7581.5,No
Masculino,0,Si,No,31,Si,Si,Fibra Óptica,No,Si,Si,No,Si,No,Mensual,No,Cheque Electrónico,93.8,3019.5,Si
Femenino,0,No,No,50,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,95.7,4729.75,No
Masculino,0,Si,No,71,Si,Si,DSL,Si,No,Si,Si,Si,Si,dos anios,No,Cheque Electrónico,83.2,6126.1,No
Masculino,1,Si,No,70,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos anios,No,Tarjeta de crédito (automática),90.05,6333.4,No
Masculino,0,No,No,71,Si,Si,Fibra Óptica,Si,No,No,Si,No,Si,un anio,No,Tarjeta de crédito (automática),97.65,6687.85,No
Masculino,0,Si,Si,61,Si,No,DSL,Si,Si,Si,Si,No,No,dos anios,Si,Transferencia bancaria (automática),68.05,4158.25,No
Masculino,0,No,No,32,Si,No,Fibra Óptica,No,No,No,Si,Si,Si,Mensual,Si,Cheque Electrónico,96.2,3183.4,Si
Femenino,0,No,Si,1,Si,No,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,79.6,79.6,Si
Masculino,0,No,No,68,Si,Si,Fibra Óptica,Si,Si,Si,No,No,Si,dos anios,Si,Transferencia bancaria (automática),102.1,7149.35,No
Masculino,0,No,No,62,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),23.4,1429.65,No
Femenino,0,No,Si,7,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,71.05,472.65,No
Masculino,0,No,No,20,Si,Si,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,85.25,1734.5,Si
Masculino,0,Si,Si,6,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,19.45,113.5,No
Femenino,1,No,No,33,No,Sin Servicio Telefónico,DSL,Si,Si,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),59.45,1884.65,No
Masculino,0,Si,Si,28,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,un anio,No,Transferencia bancaria (automática),92.2,2568.15,No
Masculino,0,No,No,27,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),19.85,470.0,No
Masculino,0,No,No,7,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque por Correo,43.9,278.4,No
Masculino,0,No,No,26,Si,Si,Fibra Óptica,No,No,No,Si,No,No,Mensual,Si,Cheque Electrónico,80.5,2088.8,Si
Masculino,1,No,No,5,Si,Si,Fibra Óptica,No,Si,No,No,No,Si,Mensual,Si,Cheque Electrónico,89.8,502.6,Si
Masculino,1,No,No,30,Si,Si,Fibra Óptica,Si,No,No,No,No,Si,Mensual,Si,Tarjeta de crédito (automática),90.5,2595.85,No
Masculino,0,No,No,63,Si,Si,Fibra Óptica,No,Si,No,No,No,Si,un anio,No,Tarjeta de crédito (automática),90.45,5825.5,No
Masculino,0,No,No,1,Si,No,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,50.75,50.75,Si
Femenino,0,No,Si,53,Si,Si,DSL,No,Si,Si,Si,Si,Si,un anio,Si,Cheque Electrónico,84.6,4449.75,No
Femenino,0,Si,Si,14,Si,No,Fibra Óptica,No,Si,No,Si,No,Si,Mensual,Si,Tarjeta de crédito (automática),89.65,1208.35,Si
Femenino,0,No,No,21,Si,No,Fibra Óptica,No,Si,No,Si,Si,Si,Mensual,Si,Transferencia bancaria (automática),99.15,1956.4,No
Masculino,0,No,No,17,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,19.95,310.6,No
Masculino,0,Si,Si,16,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,20.5,290.55,No
Femenino,0,No,No,35,Si,No,DSL,No,No,Si,No,No,Si,Mensual,Si,Cheque Electrónico,62.1,2096.1,No
Femenino,1,No,No,32,Si,No,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,79.5,2665.0,No
Femenino,0,Si,Si,28,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Transferencia bancaria (automática),19.55,543.8,No
Femenino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Cheque por Correo,20.35,20.35,No
Masculino,0,No,No,59,No,Sin Servicio Telefónico,DSL,No,No,No,Si,Si,Si,Mensual,Si,Cheque Electrónico,51.7,3005.8,No
Femenino,0,Si,Si,72,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Transferencia bancaria (automática),23.3,1623.15,No
Masculino,0,No,No,36,Si,No,DSL,No,Si,No,Si,No,Si,un anio,Si,Cheque por Correo,65.4,2498.4,Si
Femenino,0,No,No,40,Si,No,DSL,Si,Si,No,No,Si,No,Mensual,No,Cheque por Correo,65.1,2586.0,No
Masculino,0,Si,Si,40,Si,Si,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Cheque Electrónico,81.2,3292.3,No
Femenino,0,No,Si,9,Si,No,DSL,No,No,Si,Si,Si,Si,Mensual,Si,Cheque por Correo,72.9,651.4,Si
Masculino,0,Si,Si,63,Si,No,DSL,Si,Si,Si,Si,Si,No,dos anios,No,Tarjeta de crédito (automática),74.5,4674.55,No
Femenino,0,No,No,3,Si,No,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,80.5,232.35,No
Masculino,0,Si,Si,40,No,Sin Servicio Telefónico,DSL,No,Si,Si,Si,Si,Si,un anio,No,Cheque por Correo,60.3,2448.5,No
Masculino,0,Si,No,8,Si,No,Fibra Óptica,Si,No,No,No,No,No,Mensual,Si,Cheque por Correo,75.0,658.1,No
Masculino,1,Si,No,34,Si,No,Fibra Óptica,Si,No,No,Si,Si,No,un anio,No,Cheque por Correo,90.15,3128.8,No
Masculino,0,No,No,5,No,Sin Servicio Telefónico,DSL,Si,No,Si,Si,No,No,Mensual,No,Cheque por Correo,40.0,223.45,Si
Masculino,1,No,No,9,Si,Si,Fibra Óptica,No,Si,No,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),99.45,919.4,Si
Masculino,0,Si,No,9,Si,Si,DSL,No,Si,Si,No,No,Si,Mensual,Si,Tarjeta de crédito (automática),69.05,653.95,No
Masculino,0,Si,Si,31,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Transferencia bancaria (automática),59.7,1825.5,No
Femenino,0,Si,No,50,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Transferencia bancaria (automática),19.85,943.1,No
Femenino,0,No,No,2,Si,No,Fibra Óptica,Si,Si,No,Si,No,No,Mensual,Si,Cheque Electrónico,86.25,181.65,Si
Femenino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,45.65,45.65,Si
Masculino,0,No,No,8,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,70.1,551.35,Si
Femenino,0,No,No,9,No,Sin Servicio Telefónico,DSL,No,Si,No,No,No,Si,Mensual,No,Cheque Electrónico,40.75,359.4,No
Femenino,1,No,No,2,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),70.2,115.95,Si
Femenino,0,No,No,3,Si,No,DSL,Si,Si,No,No,No,No,Mensual,No,Cheque Electrónico,55.35,165.2,Si
Masculino,0,Si,No,25,Si,No,Fibra Óptica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito (automática),95.7,2338.35,No
Masculino,1,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,46.3,46.3,No
Femenino,0,Si,Si,45,Si,Si,DSL,Si,Si,Si,Si,Si,No,Mensual,No,Cheque por Correo,81.3,3541.1,No
Masculino,1,Si,Si,51,Si,Si,Fibra Óptica,No,Si,Si,No,No,No,Mensual,Si,Cheque Electrónico,84.2,4146.05,Si
Femenino,0,Si,Si,55,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Tarjeta de crédito (automática),20.0,1087.25,No
Femenino,0,No,No,38,Si,Si,DSL,Si,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria (automática),66.15,2522.4,No
Masculino,0,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque por Correo,45.85,81.0,Si
Masculino,0,Si,Si,38,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque Electrónico,19.6,717.3,No
Masculino,0,No,No,34,Si,No,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,49.8,1734.2,No
Femenino,0,Si,No,70,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,un anio,Si,Cheque Electrónico,101.75,7069.3,No
Femenino,0,No,No,13,Si,No,DSL,Si,No,No,Si,No,No,un anio,No,Cheque por Correo,55.15,742.9,No
Masculino,0,No,No,39,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,75.25,3017.65,Si
Femenino,0,No,No,61,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,un anio,Si,Cheque Electrónico,103.95,6423.0,No
Femenino,0,No,No,12,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),100.15,1164.3,Si
Masculino,0,No,No,41,Si,No,Fibra Óptica,No,Si,No,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),99.65,4220.35,No
Masculino,0,No,No,21,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,73.7,1558.7,No
Masculino,1,No,No,55,No,Sin Servicio Telefónico,DSL,No,No,Si,No,Si,Si,un anio,Si,Transferencia bancaria (automática),50.05,2743.45,No
Masculino,0,Si,No,69,No,Sin Servicio Telefónico,DSL,Si,No,Si,Si,Si,Si,dos anios,No,Transferencia bancaria (automática),60.25,4055.5,No
Masculino,1,Si,Si,26,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,Mensual,No,Cheque Electrónico,105.75,2710.25,Si
Femenino,1,Si,No,69,Si,No,Fibra Óptica,Si,Si,No,No,No,Si,un anio,No,Tarjeta de crédito (automática),87.3,6055.55,No
